,Date,bajaj_log_return,tata_log_return,tvs_log_return,lupin_log_return
137,20-10-2022,0.979906125,-0.238350152,-2.524230548,-1.380739217
138,21-10-2022,-0.631753743,-0.012565828,-0.039400477,-0.132506175
139,24-10-2022,0.84686305,0.887902299,0.375884042,0.286864456
140,25-10-2022,-1.242895523,0.731874908,0.942238051,0.549351763
141,27-10-2022,-0.874063658,0.775631112,-2.840421214,2.709485858
142,28-10-2022,1.327315383,0.538156955,0.230940897,-0.985926872
143,31-10-2022,0.031330422,0.692888202,1.662885908,0.372650518
144,01-11-2022,1.643615814,2.062174302,-0.704893191,1.455730665
145,02-11-2022,0.10978111,0.189686271,-2.041794329,-0.254107793
146,03-11-2022,0.977332164,-1.407469431,1.746988934,0.662161999
147,04-11-2022,-0.063618907,2.162636537,-1.823251142,-0.210848722
148,07-11-2022,-0.033150452,2.243362197,-0.12572992,-0.112646175
149,09-11-2022,-0.806993324,-0.42619127,2.835185512,-2.222155722
150,10-11-2022,-0.400584139,-4.957536839,-3.448169112,3.55158975
151,11-11-2022,0.081848753,2.704477605,0.135541829,3.77171843
152,14-11-2022,-0.044274748,2.379959845,-0.606831941,1.659514924
153,15-11-2022,1.018683043,0.792330962,0.222329774,-0.786496224
154,16-11-2022,-0.444641734,-1.289303287,1.377354294,-1.861819959
155,17-11-2022,-1.432515338,-1.965665241,-0.84396579,-0.481118547
156,18-11-2022,-1.670544434,0.153491868,-2.487634259,-2.065753806
157,21-11-2022,-0.3709127,-0.639126052,-3.135972766,-0.020796334
158,22-11-2022,-0.011054947,0.851268345,-0.492403992,-0.15965343
159,23-11-2022,-0.311331717,-0.153173676,0.830429359,-0.097307412
160,24-11-2022,0.340340312,-0.153401076,0.061771952,0.006956154
161,25-11-2022,0.553693603,2.288225168,-1.454501201,0.090351257
162,28-11-2022,0.996323852,0.011539112,2.19746606,1.912815671
163,29-11-2022,-0.452517491,-0.023086735,-1.966399891,2.397260866
164,30-11-2022,2.445199254,1.432602552,0.795026184,1.93079504
165,01-12-2022,-1.155764687,-0.262055859,0.176348301,0.546741442
166,02-12-2022,-1.309923913,-0.652440008,-0.152498976,0.737243496
167,05-12-2022,0.015026884,-1.539113995,-2.962176867,-0.763213062
168,06-12-2022,0.949056864,-0.385580545,2.249030411,-0.31864531
169,07-12-2022,-1.641362388,-1.652544705,-1.519728342,0.292677086
170,08-12-2022,0.041260027,-0.692698621,0.068249889,-1.97417037
171,09-12-2022,-0.529428554,-0.939206502,0.989301107,-0.444780236
172,12-12-2022,-0.560042411,0.205448607,0.159111593,0.066513054
173,13-12-2022,1.105978779,1.044866916,-0.096394919,-1.0829701
174,14-12-2022,0.419825059,-0.143474021,-0.779465493,1.976574319
175,15-12-2022,-0.900802261,-0.287552863,0.996238265,-1.046649779
176,16-12-2022,-1.944573106,1.169043513,0.076958847,-2.912074521
177,19-12-2022,2.232884724,-0.857561775,1.550636082,-0.096024181
178,20-12-2022,-0.445931387,-1.810547113,-0.00946725,-0.364374224
179,21-12-2022,-0.070590838,-1.943242379,-2.168226177,3.439043676
180,22-12-2022,-0.282855509,-2.045108823,0.554903555,1.970213855
181,23-12-2022,-1.653491428,-4.167272335,-2.790965547,-1.254072839
182,26-12-2022,0.29320761,1.690395294,0.498508292,-1.941422343
183,27-12-2022,1.084963079,2.400783907,2.767708187,-0.067391722
184,28-12-2022,-0.114242495,-0.72569673,3.635040135,-1.193553399
185,29-12-2022,-0.504496925,-1.389630701,1.676098984,0.442462191
186,30-12-2022,1.315283159,0.529829881,-1.427019235,-0.333365209
187,02-01-2023,-1.17107952,1.75027345,-1.14434695,-0.115930512
188,03-01-2023,0.773446976,-0.228219518,-2.979506977,0.693508796
189,04-01-2023,-1.365580508,-2.12964766,-1.596861435,-0.454997797
190,05-01-2023,1.904149924,0.336569399,0.501142849,1.116799963
191,06-01-2023,0.581004597,-1.274570626,-0.554819389,-0.641477972
192,09-01-2023,-0.59204737,1.931494949,-0.332426596,1.579381643
193,10-01-2023,-1.293977727,5.846985923,-0.471189234,1.193100134
194,11-01-2023,-1.016566615,1.275444142,-0.162480367,-0.634543277
195,12-01-2023,0.90738826,-1.432983644,-0.900910917,0.03977662
196,13-01-2023,0.975538792,-0.182096871,-0.338689711,0.18541806
197,16-01-2023,-0.616276341,0.363855223,-1.351203233,0.158662331
198,17-01-2023,0.662025775,0.555354117,-0.207556426,-0.490008169
199,18-01-2023,0.081755428,-1.675401182,1.548776705,1.828518176
200,19-01-2023,-0.944922415,-1.890934611,1.190427152,-0.989040345
201,20-01-2023,-0.089522885,0.597092185,-4.451445928,-0.600802039
202,23-01-2023,1.411860128,1.293842426,1.209279231,1.381058429
203,24-01-2023,1.722331011,3.311360569,0.218764316,-1.779168394
204,25-01-2023,0.834694503,-0.737051571,5.348126356,-0.646993136
205,27-01-2023,5.733105402,6.143149241,1.23524626,-0.684893983
206,30-01-2023,-2.458374331,-0.438572008,-1.640736801,-1.002170681
207,31-01-2023,-0.597956775,1.886741153,0.294634908,0.353258485
208,01-02-2023,-0.18218403,-1.212812279,-1.79071833,0.01356736
209,02-02-2023,-0.541969458,-0.415051797,-1.121376066,0.621871529
210,03-02-2023,1.618462549,0.146026324,3.293305608,-0.351016929
211,06-02-2023,-0.089595323,-0.77751006,2.059568487,0.774648342
212,07-02-2023,0.785406896,-1.492986563,-0.616758749,0.828602831
213,08-02-2023,0.021903199,1.062194076,-1.062106876,3.137842953
214,09-02-2023,-0.894386417,-0.764104429,0.981174217,-0.122609097
215,10-02-2023,-0.367312381,2.062167074,2.404645115,-4.923244929
216,13-02-2023,1.344135767,-1.082441475,-0.578220497,-8.785655629
217,14-02-2023,-0.190728276,-0.11342935,0.856811016,-1.815988893
218,15-02-2023,0.753061567,0.813844756,2.576980765,0.915845352
219,16-02-2023,0.030730601,-0.575786389,1.560292039,1.872959697
220,17-02-2023,-0.315345582,-0.385703001,-1.800075358,-1.708685089
221,20-02-2023,0.243646111,0.702232737,2.403281931,-0.463629612
222,21-02-2023,-1.723352848,-1.478137763,-0.434292905,0.500921418
223,22-02-2023,0.093776181,-1.628308141,-1.026748853,-0.966701344
224,23-02-2023,-0.229398153,0.869425121,0.268865538,-0.854546559
225,24-02-2023,0.469945963,-1.266062095,-1.079826876,0.151783403
226,27-02-2023,-5.6117634,-2.317712956,-1.835257902,-0.723018176
227,28-02-2023,0.584843631,0.655818068,-0.452543095,0.707853961
228,01-03-2023,1.905950831,1.25193701,-1.619081023,0.325595532
229,02-03-2023,-0.440450743,-1.311375326,0.366234341,-0.249778569
230,03-03-2023,0.449829573,1.779757675,0.32753165,0.468764106
231,06-03-2023,-0.240097553,2.787878484,2.595993747,-0.060359762
232,08-03-2023,2.340084426,-0.181942651,1.023425022,0.271355236
233,09-03-2023,0.060328484,-1.629411108,-2.117227898,-0.937773867
234,10-03-2023,0.220021692,0.840973242,-1.329501737,-0.296765468
235,13-03-2023,-1.14338036,-3.134546968,-2.216131158,-0.274730468
236,14-03-2023,-0.678501841,-1.370614702,-0.257788949,0.289976971
237,15-03-2023,-0.612053969,-1.280212207,-1.274821835,0.31950834
238,16-03-2023,1.86454287,1.05194187,1.998770137,1.192913976
239,17-03-2023,0.372960501,0.790704284,-0.642721644,-1.390590615
240,20-03-2023,-0.24672971,-1.988616072,-0.48836409,-1.626541486
241,21-03-2023,2.612098508,0.437264309,1.173794249,0.463028073
242,22-03-2023,0.466175083,0.856828262,0.071128814,1.444699387
243,23-03-2023,-1.566762962,0.730317109,-0.694484914,-1.575679506
244,24-03-2023,-0.91147786,-0.63423597,-0.526442948,-1.327090809
245,27-03-2023,-0.533038915,-1.074179488,0.445266716,2.887594439
246,28-03-2023,-0.419783664,-2.568808174,-1.186969371,-2.20244498
247,29-03-2023,2.286661103,1.874746105,4.249506373,1.233824707
